Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0001_8,0002_1,0002_2,0002_3,0002_4,0002_5,0002_6,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_8,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0005_1,0005_2,0005_3,0005_4,0005_5,0005_6,0006_1,0006_2,0006_3,0006_4,0006_5,0006_6,0006_8,0007_1,0007_2,0007_3,0007_4,0007_5,0007_6,0007_7,0007_8,0007_9
48,3.3571428571428568,,2350181.443468801,2459813.164008879,,,2624609.703769497,,,,3015975.7413537772,,,3132169.182771242,2277915.5993527328,,,,2900065.998320519,,,,,,,,,,,,,1425557.8594224,1380202.1889984983,,,,,,,,,,,3026535.4566226383,,3212128.6647940795,3147487.994035575,3145431.850409632,,3020969.891936488,,2612324.7479308476
49,3.4285714285714284,,2622416.988802006,2524303.7127289176,,,,,,,3129511.174027306,,,3445410.219423674,2363949.8065315983,,,,2623944.586291317,,2964420.706504336,,,,,,,,,,,,,,,,,,,,,,2670728.9136367175,2982050.121966834,,3327972.9910490396,3285307.956163725,3217864.140525016,,3051376.368290107,,2577013.415065189
50,3.5,,2706336.0296704206,2419048.583209653,,,2664301.4381171265,,2675034.12467582,,3077680.773611165,,,3183853.6202572333,,,,,2701402.203011725,,2859229.4064481705,,,,,,,,,,,,,,,,,,,,,,,2896514.6617850238,,2946401.564937784,3030083.0584150036,3594500.3020212385,,3108061.3649266707,,
51,3.571428571428571,,2632035.7451749193,2540862.2648305106,2751993.596178283,,2666214.2578407917,,,,2941199.3694662163,,3067416.852096153,3102454.6717949393,2011730.1921884166,,,,2450267.8795755384,,2650845.2972334498,,,,,,,,,,,,,,,,,,,,,,,2796040.1317932815,,3138661.761753352,3214242.6462669857,3530807.787857573,,3065404.168299273,,
52,3.642857142857143,,2506521.928852074,2497731.899808669,,,2657953.623659166,,,,3147875.1250454793,,2941552.675728442,3337160.051581194,,,,,2557978.6474715765,,2965387.9727739543,,,,,,,,,,,,,,,,,,,,,,,2832866.9701204156,,3256743.733652411,2987316.6718754643,3305660.1699541053,,3209388.9579102816,,2557082.171255102
53,3.714285714285714,,2542938.6405505775,2339123.035683123,,,,,,,3117049.1888272595,,2896350.6722683194,3253740.8922873395,,,,,2492445.8711032043,,2852966.2907897984,,,,,,,,,,,,,,1782366.9497295613,,,,,,2720161.671393876,,,3016503.8168356386,,3261712.003569486,3080922.3951731124,3638767.347458959,,3020127.2495290446,,2511537.361416886
54,3.7857142857142856,,2532195.939267091,,,,,,,,,,,3219525.137433123,,,,2550777.78143712,2282956.0185345626,2589566.2134225303,3025255.2565662493,,,,,,,,,,,,,,,,,,,,2765726.8664686955,,,2895516.8655416435,,3197365.5812163474,3025392.2951927376,3107262.09618389,,3057164.7648734855,,2489773.3519154703
55,3.8571428571428568,,2466687.378434046,,,,2670967.0351701146,,,,2982219.0969836805,,,3369777.1861681133,,,,,2145141.797587505,,2875241.0884225005,,,,,,,,,,,,,,,,,,,,,,,2823361.140142519,,,2856456.4388040635,3407923.1509667444,,3134647.5151876067,,2625952.770998943
56,3.928571428571429,,2714502.6870915536,,,,2680125.460621707,,,,3055061.9177472037,,2919203.843574168,3248484.001140729,,,,,2673475.92624364,,2962617.0169512467,,,,,,,,,,,1559621.3638908418,,,,,,,,,,,,3131922.9358801236,,3180857.4754792745,2880036.7478432013,3316153.9372499096,,3306310.5613169377,,2536688.7125291084
57,4.0,,2818933.1645703283,,,,2625671.2767364844,,,,3015465.879061203,,2899006.730583222,3402271.047004757,2205337.701098486,2552713.171030369,,,2726125.892723566,,2732551.2525748108,2985739.945015815,,,,,,,,,,,,,,,,,,,2702368.0017844345,,3065185.667051931,3126615.7643069257,,3168411.5681610066,2915001.017185047,3302119.3508636956,,2897511.607261564,,2635115.120291202
58,4.071428571428571,,2813966.6353040915,,2669116.6168509186,,,,,,3036250.73848228,,2824242.882131019,3397577.6376620126,2205337.701098486,,,,2579880.80060909,,,,,,,,,,,,,,,,,,,,,,,,3075262.7749760584,3280374.727619012,,3239996.174817516,2616193.064530277,3509526.634567541,,3118048.3769089677,,
59,4.142857142857142,,2812469.7985105314,,,,,2330651.053375974,,,3044979.927971833,,3056743.5329654724,3329778.02608579,,,,,2685333.2780051427,,2890245.7993172035,,,,,,,1538458.599655381,,,,,,,,,,,,,,,2647554.852927602,3244482.4468344124,,3056593.7636058647,3281985.6436842894,3467001.1074496247,,3046971.6134729763,,2552954.403491404
60,4.214285714285714,,2617248.092382326,,2621152.8797402764,,,,,,3116883.124163013,,3049802.182953582,3259511.9852631283,,,,,2671070.781251435,,2694608.0152651914,3149218.6362656667,,,,,,1482698.1386770823,,,,,,,1832859.5123806868,,,,,,2418507.512078209,2633728.660745375,,3244482.4468344124,,2998823.205800752,2979964.7447299697,3535086.2136184424,,3055738.6562449634,,2470619.2033961597
61,4.285714285714286,,2357978.4711776497,,2668434.134904897,,2538237.450614336,,2685694.4654218014,,3042450.1888883924,,2774142.780909382,3118316.415868311,,,,,2827943.6182942283,,2837275.7206739243,,,,,,,,,,,,,,,,,,,,2603358.370500173,,,3008214.5151056913,,3139158.8137353924,3075124.0677028648,3534150.2404285725,,3113537.1811485537,,2508214.1135393647
62,4.357142857142857,,2699981.45871308,,,,2571927.878378321,,,,3066863.141349684,,,3402257.2640218344,,,,,2799258.6035984745,,2935490.1251673144,,,,,,,,,,,,,,,,,,,,,,,3068332.8151121484,,3013437.352164182,2888703.4788670675,3255760.2614739565,,3134020.067880795,,
63,4.428571428571428,,2741075.8281440674,,,,2357293.070388984,,,,2939729.2204712667,,2933248.7612357005,3494336.628207987,,,,,2361738.577396966,,2794594.942199575,,,,,,,,,,,,,,,,,,,,2779878.447612252,,,2885851.150902271,,2858395.1566105424,2925645.1096923817,3290071.596073311,,3138934.7963212323,,
64,4.5,,2511518.7620707876,2465908.025522225,,,2631273.250954593,,,,3043487.3976070825,,,3349221.601697399,,,,,2488164.726928537,,2835392.480672733,3158455.7029482117,,,,,,,,,,,,,,,,,,,,,,2950990.530596371,,3098776.283639713,2734923.114830018,3396972.5105404467,,2924460.708032553,,
