Frame,Time,0001_1,0001_3,0001_4,0001_5,0001_6,0002_1,0002_3,0002_4,0002_5,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8
213,15.142857142857142,,,,,,1927258.497288042,,,,,,,,,2426554.292849409,3250951.7131549423,
214,15.214285714285714,,,,,,,,,,,,,,,2575949.239995228,3490685.294084588,
215,15.285714285714285,,,,2104293.114652298,,,,,2460078.914078554,,,,,,2441705.4062186847,3345575.810015817,
216,15.357142857142856,,,,,,,,,2400267.5007807864,,,,,,2686475.422018075,2998338.6727621383,
217,15.428571428571429,,,2512065.914594329,,,,,,2368542.1742539946,,,,,,2699355.939491305,3498218.9376617516,
218,15.5,,2160202.383100234,2339677.084029565,,,,,,2379709.700033928,,,,,,2656299.79669418,3501568.3733025347,
219,15.571428571428571,,2215957.8950413037,2331059.867496842,1986670.5893285484,,,,,2358884.433774964,,,,,,2617446.248963114,3462748.3376755044,
220,15.642857142857142,,2169101.2723347805,2275645.6190772094,1991618.615467821,,,2285231.4675143613,1868560.3656014078,2389102.9133776557,,,,,,2413629.7693001595,3364604.5377615956,
221,15.714285714285714,,2169101.2723347805,2454063.4303997485,1878754.8114184653,,,,2015168.921472019,2376308.516557212,,,,,,2582195.439305751,3426070.982097495,
222,15.785714285714285,,2124029.5348223303,2177644.53892252,2081190.6352219915,,,,2093275.5441788605,2363982.222444903,,,,,,2448574.174513226,3367293.36872092,
223,15.857142857142856,,2096873.3148998495,2285920.3086088793,,,,,2055341.6651754926,2358454.3254109644,,,,,,2728689.4554562024,3423256.3265629583,
224,15.928571428571429,,2046158.2946336463,2234192.667849581,2085096.7886638222,,,,,2358454.3254109644,,,,,,2385103.9047797555,3433400.3805049704,
225,16.0,,,2205434.0722163976,2063210.6803997394,,,,2007143.5146239626,,,,,,,2348118.8898780188,3415204.3465020317,
226,16.07142857142857,,2034982.3771633024,2236418.775010636,2022597.3001785884,,,,1829786.0871966686,2353771.408472825,,,,,,2442994.1959545477,2929192.9852492744,
227,16.142857142857142,,2241458.3833247675,2242088.398357784,,,,,1937522.2370629625,,,,,,,2505093.39681632,3407282.2161874697,
228,16.21428571428571,,,2244174.7235814393,2016893.151150148,,,,2166921.180099954,,,,,,,2484441.3673905768,3483990.2902686438,
229,16.285714285714285,,2195341.2497653137,2220653.1694557723,1962092.0962005234,,,,2200442.7844856926,,,,,,,2303307.0154792713,3577739.79530509,
230,16.357142857142858,,,2295006.4849611777,2017774.0826963463,,,2286640.978701766,2202039.6181577365,,,,,,,2531120.0746550625,3569632.1065795375,
231,16.428571428571427,,,2159309.639453179,2070110.139926284,,,,2063666.5857592402,,,,,,,,3502926.5746328915,
