Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0002_4,0003_1,0003_2,0003_3,0003_4,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0005_4
40,2.7857142857142856,1865642.5705010658,2216962.899936594,2187078.9155503586,2264987.320215304,1781995.192476586,,,2354569.374581866,,2063339.7436451607,,2543542.155864856,2548702.9184314744,2706384.104526092,,2530366.633007755,2961907.278197391,3122099.7021281854,
41,2.8571428571428568,2019710.153781913,2132701.1664589345,2017039.0590402454,2295908.0065718815,1871582.139806178,2065959.046160985,,2424801.9640863114,1931211.240223308,2099906.443990333,2600845.482661372,2502415.613470034,2592016.342966362,2593434.824460785,,2703755.081778975,3038839.249840787,2989143.0382147166,
42,2.9285714285714284,1958312.3070188565,2240433.021536834,,,1870679.0973825816,2135464.2184480806,,2602723.977822256,1991194.8481514498,2102748.7849618574,2788119.873588659,2606875.1342486427,2538918.8861442422,2567211.2710846243,,2626489.613260978,2896725.9173588953,2828552.539573685,
43,3.0,1882527.838791992,2230262.591826143,2169685.2475175825,,1927880.1221274917,,,2262542.9085295284,1947417.022263081,2081409.6838673877,2569730.180252898,2986264.2236870998,2617549.726748744,2554973.322180432,,2738315.44520502,,2785067.349472644,
44,3.071428571428571,1873166.8382376134,2181003.766698618,2061690.9007012884,2325808.291095011,1921702.8143776993,2316302.8440571823,,2446987.044590936,1963754.1063375399,2322593.1881791656,2695148.4948502686,,2665222.068168083,2498105.350238555,,2489199.4699501507,,2666174.092188756,
45,3.142857142857143,1711351.408002858,2381201.2105939365,1912474.1178249603,2144812.9203283326,1904512.5983550835,2264469.7480334183,,,1954459.4372311658,2369268.4861027324,2786176.175359421,2662108.440873024,2695805.440682687,2697156.9018039973,,2942270.214794267,2996158.635680567,2756229.47971992,
46,3.214285714285714,1864056.485143989,2369320.5812363094,1898080.8276033788,2179563.6535226083,1751378.5166729928,2237390.0329836295,,2271448.884698782,1807530.2510187877,2275111.864340208,2831266.4456592523,2739462.795402934,2599170.6176127805,2661932.0771467476,,2656424.9376456817,2911992.9061497725,3191535.5631725285,
47,3.2857142857142856,1917200.233361496,2515715.274396689,2009887.080083668,2211754.982351558,1865715.920729547,2088603.7273909058,,2271060.5553936334,1835435.8407132858,2376456.6891683927,2687639.179440308,2595280.029776133,2657810.1399404383,2805718.797756288,,2540030.9438982653,,2940977.740729207,
48,3.3571428571428568,2068529.425434918,2247192.1755927503,,2006398.0214480085,1846429.7827773704,2038586.3867907128,,2239991.2586755613,2062232.633279331,2320367.0972778304,2543830.249506455,2691226.4391389256,2433806.81785117,2888288.0696580485,,2876137.4881392396,2907858.1180659,2944599.5180767304,
49,3.4285714285714284,2062190.6055874098,2168408.025975513,2124485.027821199,2117378.3109416636,1848384.3550472995,,,2433091.064309368,1993423.186947157,2279238.315058343,,2688732.5153718796,2547548.255418404,2718109.253968093,,2635230.621881047,2982182.2192014013,3017214.3802993656,
50,3.5,1973642.0279772165,2302622.7226788877,2158678.0815029466,2160022.668322773,1705195.6664551266,2122650.908084769,,2317133.6682457984,1966352.5457920593,2321948.415377739,2758149.672382134,2722827.5482273023,2597534.4385965145,2722593.1848871517,,2746311.5411599823,,2948735.794001363,
51,3.571428571428571,1992717.0772917736,2177746.7623284794,1936185.931872514,2212912.281538218,1803275.482388758,2284554.3978080777,,,1849409.1599896085,2076565.667916045,2493619.045804667,2698764.5252794353,2462776.570901846,2637081.212283972,,2748136.218460895,2866475.5275331885,2786000.6153538404,
52,3.642857142857143,1987853.8961987335,2178939.7005715566,2175668.412274453,2211174.3858650085,1847060.1077831849,,,2513458.654330062,1900373.8072297405,2163914.725668551,2518046.8940294054,2686565.230963719,2506665.777725002,2502549.0648302273,,2644646.9493948948,2835048.3538738824,3095412.2270144536,
53,3.714285714285714,1947923.7592072177,2128069.028203429,2109641.3760774555,,1710891.7664053156,2176124.3938681292,,2293191.2048199507,2091076.9652776802,2283708.668889737,2771349.080010209,2752785.4909227565,2504443.1917342586,2668787.8660298274,,2565487.394000695,,2894518.8529739324,
54,3.7857142857142856,1945485.5698516713,2231612.0754587324,2084339.2666799347,2312107.17361882,1915359.1173695247,2148925.922625332,,2298817.570795722,,2159668.548918382,2890826.7182807787,2477550.434516166,2451462.48541018,2710204.2001990406,,2631620.9478485514,,3018639.454266199,
55,3.8571428571428568,1956429.8008678416,2180075.967220434,2035389.7916780862,2022800.6020573745,1881916.6240631668,2037722.643924722,,2313946.726600219,1998722.9605706409,2051846.3621391586,2619583.429283271,2721101.39011764,2491572.0679255696,2650431.5069672195,,2499293.684217833,,2942383.7991223033,
56,3.928571428571429,1984513.2781779598,2228283.759665573,,2193719.413085564,,2295559.9412630554,,2522792.1269034296,2043368.9365909097,2278308.432716564,2637663.9100842727,2768560.874403642,2460424.192684876,2658994.6073864596,,2683038.438532437,3030096.583932939,2877638.3677392956,
57,4.0,1950487.3789365098,2385425.288854461,,2170945.915943651,1884869.4126297263,2080970.7929390287,,2488458.9645805135,2075529.970877354,2361876.505101419,2888144.444790529,2619890.530013823,2571152.6414671214,2591098.5948803625,,2737390.783324281,2944133.8482360207,2877597.401947129,
58,4.071428571428571,2068125.5914136164,2288180.934742082,2123925.276497084,2148303.4550733217,1707108.4704381549,2090312.933498812,,2560901.851403706,1864910.6176620026,2288317.734017522,2699835.8149967,2738081.4266501265,2588063.347571637,2533361.126749913,,2640807.5724891806,2732835.347992929,2995037.262349305,
59,4.142857142857142,1893768.6781755337,2313943.004581355,,2128839.92664622,1791497.5299359264,2064817.058816866,,2255689.099285598,2023810.7569669676,2202585.0911316923,2819524.9006916624,2646791.0528845787,2632301.6424161084,2643288.7063974156,,2513005.5742486524,2954497.793183752,2993586.1125913956,
60,4.214285714285714,2017999.4119749458,2300040.6924122316,,2174106.1533122007,1844957.0854776818,2185585.6642154274,,,,2209312.4992110515,2810698.5408355426,2667249.045036256,2574859.873915156,2551358.6915207254,,2561253.2171938745,,2801033.1804060247,
61,4.285714285714286,1863376.1190635161,2119974.2820135406,2118937.8717076634,2094708.3691772136,1846093.449326324,2067664.7406779353,,2362149.9301157,1944949.9165252415,2298268.8048482463,2712937.289246624,2596570.452587374,2362747.706011936,2684502.4622789873,2835241.102672201,2592936.8658369184,,2983851.346666568,
62,4.357142857142857,1969029.2409854515,2121767.5550052077,,2102173.4348655515,1842124.0302759716,1979268.4904486574,,2504177.760265676,1967445.0717799582,2222769.777251456,2819940.871765818,2777231.8409301415,2491265.351449548,2717892.41865587,2713253.9348977967,2664188.1326454654,2830084.3812919273,2866536.369243107,
63,4.428571428571428,1934056.8467583908,2255169.393776665,,2046961.4049706429,1794178.2176920825,2181480.2876676577,,2310027.259637094,1924658.2813817468,2126798.20946071,2646409.305077803,2343507.942007196,2652443.6539684697,2497179.1648667813,,2526453.613449558,3005816.8310696627,2909640.0523875398,
64,4.5,2139234.0781137226,2363697.45452346,,2075899.1728351074,1734800.490210621,2264028.083400489,,2502896.871900647,2039059.1725222857,2196930.0516035478,2600090.448946674,2668628.657302025,2630315.0943420054,2530725.5484418264,,2730932.920203878,2752647.274596544,2869395.042092389,
65,4.571428571428571,2016423.4467040368,2085666.6710342446,,2317330.466556241,1754099.5530401864,2100593.0624777083,,2579618.8926678877,,2277265.2423710776,2549625.460322343,2652428.182468789,2757768.9699948034,2537342.3318147836,,2406504.1600253163,2927017.6136925314,2920439.1955038975,
66,4.642857142857142,2109686.339930758,2130065.752585835,,2339779.496016573,1793825.0104056445,2175555.391812256,,2272676.908164352,1971442.398656914,2213548.82835862,2717923.4345753086,2481683.983246158,2424824.711180997,,,2554538.5647677043,,2892488.05329214,
67,4.714285714285714,2074669.7395890171,2103703.070555524,,2249531.692172745,1835189.2181410855,2239732.6175091425,,2296194.742527995,1999889.8416729614,2269055.1812448665,2664996.8366345717,2535267.4837376634,2388309.8667265,,,2591277.8952928553,2891621.94466905,,
68,4.785714285714286,2040197.0465752985,2189162.5928204795,,2078825.4885172078,1811507.970195151,2156565.437858676,,2457268.603845914,1959297.1189678255,2360225.797699011,2432928.1703693266,,2340553.6476814,2472040.5667953542,,2474443.528840477,3034177.828999885,2918263.926213167,
69,4.857142857142857,1927438.7591518532,2194486.3216821104,,2102517.927741636,1602022.9998279745,2172776.7224597163,,2231201.628187023,2017875.7991993038,2277096.220639541,2673579.1126601445,2687027.205043081,2126932.941552665,2671284.499564395,2697868.48413488,2596446.1112754513,2950768.288522079,2900227.562505222,
70,4.928571428571428,2047346.8418255146,2395264.0256916704,,2084232.6285556154,1707568.7694263957,,,2444032.7596955914,1927290.1615068335,2193493.771408566,2623727.2878662716,,2217160.9075195524,2494916.60757753,,2599216.13015419,2947660.3492433815,2865974.6204973506,
71,5.0,1890383.12232468,2169558.3298880174,,,1828623.178939451,2099817.674390115,,2515597.605059167,1992136.201012774,2153008.942771829,,2392451.7457082532,2234032.8514151094,2704182.042906857,,2716089.527048766,2985483.408054359,2799962.577032011,
72,5.071428571428571,2049450.1202699288,2297162.9684694046,,2238638.864233208,1869105.4994884313,,,,1945294.184330808,2197849.9355960363,2718400.989695044,2485607.3908425556,2279288.950887073,,,2622462.88614285,,2989348.2503442774,
73,5.142857142857142,1997066.4743359562,2210256.8083347077,2018235.5961681034,2211733.8739754697,1786673.2788444906,,,2200692.9128754367,1996778.63313398,2122072.925299424,,2764662.4718826083,2325354.858684253,,,2385191.6235218896,3024252.3276479044,2920157.931580138,
74,5.214285714285714,2091492.9227029823,2257620.148076854,1812090.1063910045,2191377.0713286195,1864091.7854173009,1882103.7084857505,,2467221.9634702452,1848290.3967079297,2374456.994929245,2649158.0461869044,2422561.385046996,2251026.1434299867,2628495.424715663,,2586414.2791319992,,2834445.202630388,
75,5.285714285714286,2079222.3603562894,2249644.5055987327,,2168734.9244736265,1764662.3500094956,,,2547396.674842188,1889106.9932035315,2335508.5770130395,2620549.3107805387,2534360.1637813984,2283588.40805678,2724342.3182273516,,2691924.767508507,,2897126.700900691,
76,5.357142857142857,2048952.9479270645,2313281.2062768103,,2238743.863035897,1912742.7142414358,2294140.536027726,,2346951.694279446,1948562.224289175,2144547.7431420945,2771016.0763408896,2609002.3065440613,2319167.341057877,2489063.7806890677,,2685783.9757965,,2899179.755520082,
77,5.428571428571428,1779790.7328361552,2410646.894651236,,2276350.2628317163,1894621.6397245424,2048890.1755541447,,2302864.2095237933,2076837.148188359,2229775.4251987827,2842102.5572873284,2562974.2515136064,2378840.014547201,2671682.0139099527,,2698785.417722232,,2809074.7915519523,
78,5.5,2162567.718604735,2327162.204726722,,2184561.9522243957,1895915.7483239716,2165727.410705864,,2403518.1456008856,1878498.8883715943,2320009.715821284,2317253.87375472,2712672.564400712,2347524.6880141664,2678884.1787597355,,2593572.984652431,2751167.0765214995,2853261.230909016,
79,5.571428571428571,1874400.8557386072,2173429.84355882,2016243.3115182025,2139807.3668402196,1941953.9813705217,2178361.8887172663,,2509307.5706198853,2061637.7224519514,2257744.9579804745,2655205.4328865954,2736616.44572551,2296052.228279531,,,2537040.0197482975,,2975465.8601964805,
80,5.642857142857142,2039224.5165160801,2301119.784080342,2035202.2206935142,2296933.8279113933,1907494.4806919063,2088528.623573595,,2159194.6533288304,1818569.670153736,,,2691160.7604775876,2236418.7795232013,2637974.0547851487,,2735884.2443118333,3021740.5812838874,2725345.273097479,
81,5.7142857142857135,2003959.4947243978,2247913.3451685896,,2168728.052831504,1885897.1128843613,2098162.3324118583,,2410533.985579529,2008382.6878646135,,,2777675.611519626,2448366.319918511,2472121.354173799,,2490809.0841087434,,2579818.2686551143,
82,5.785714285714286,2007005.4379633367,2359748.544621073,1604217.978262205,2137435.6749958466,1836099.9358259914,2253005.9225630336,,2438807.947487994,1951503.6978998093,,,2577619.9784432393,2202677.328970048,2713884.0598023627,,2680322.8251261855,2905786.716616193,3182450.2864925754,
83,5.857142857142857,2045320.752031497,2243624.5565968365,,2224460.2599781794,1861220.2548351353,2245423.294001736,,2357840.991904011,1901253.1269442185,2256562.4256349783,,2402223.624433785,2446452.2816910236,2371228.016042869,,2634099.2178089605,,2762129.992103009,
84,5.928571428571428,2080245.743661324,2197860.4363948074,2100375.8127748375,2295893.9593605152,1878185.1004697774,,,2559923.754382836,1896953.7060605488,,,2833761.155053447,2460832.42406148,2658104.6935955295,,2748758.0563764446,2942032.6236548037,2795071.4721704377,
85,6.0,1929811.0679015492,2097524.3107815743,1991694.118459909,,1788649.4196683657,,,,1931765.6802337565,,,2658661.96839052,,2615947.6273829476,,2438782.699554276,3035122.9168675225,3042469.5806861576,
86,6.071428571428571,1994047.7369903475,2081456.0375382549,2089193.837969837,2319615.443185992,1831480.4540705702,2319202.801135346,,2392144.755122276,1932335.4456241499,,,2691800.133046758,2483109.6544971946,2571116.320284654,2816421.639666714,2519542.3794922284,,2722234.769544226,
87,6.142857142857142,1915055.9669904723,2022362.4919792516,,2309057.858704416,1779243.3316572793,2097009.980033397,,,2012867.9573832895,2132382.892028403,,2615048.193919839,2745762.521133596,2645209.6695774477,2940962.484020074,2758169.6159156053,3026528.2508637034,2674345.390195135,
88,6.2142857142857135,,2280273.513141135,,2256163.074624509,1817337.7573463684,2213908.1405809093,,2277209.603116637,1968927.3625263846,,,2644932.811777571,2542230.0351286004,2586018.804798786,2657513.9428795693,2699901.203737249,2864738.3013830814,,
