Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0002_1,0002_2,0002_3,0002_4,0002_5
103,7.285714285714286,,2200239.6883031465,,,,2316432.098059336,,,,2098841.991882622,,
104,7.357142857142857,,2403273.4637713563,,,,,,,,,2942854.1203450384,
105,7.428571428571428,,2624116.286636846,2755854.8010776634,,,2372328.9772178726,,,,,3013030.130528721,2832542.8680747985
106,7.5,,2718961.6512999483,,,,,,,,,2925387.4081350896,
107,7.571428571428571,2071429.1425344094,2581254.6743852454,2787635.4789657984,,,,,,,,3264665.331758527,
108,7.642857142857142,,2682642.975049912,,,,,,,2440523.8614782244,2258436.346345249,2705095.949490706,
109,7.7142857142857135,2299600.7150003985,2400815.934009045,2665838.9082323117,,,2286859.525192371,,,2550991.829997469,,,
110,7.785714285714286,,2252105.51197221,,,,,,,,,3148274.2047955594,
111,7.857142857142857,,2518671.81111762,,,,2328620.3979275753,,,2586929.497806439,,,
112,7.928571428571428,,2390406.299346202,2825173.059479196,,,,,,,,2947063.4343936546,
113,8.0,2201885.681964921,2326600.2087585116,,,,2389210.1489743083,,,2577331.1335668173,2233594.973945085,,
114,8.071428571428571,,2608358.701659875,,,,,,,,,,
115,8.142857142857142,,2557780.4677034845,2820305.9129649373,,,2340622.0393392053,,,,,,
116,8.214285714285714,,2481475.5349313845,2694298.0102258786,,,2386862.931635794,,,,,3101628.653716056,
117,8.285714285714285,,2402063.442259153,2796099.506104773,,,2380254.504096735,,,,,,
118,8.357142857142856,,2620060.0531543726,2644863.4416388534,,,2378886.5088291233,,,,,3044589.283006412,
119,8.428571428571429,,2458834.4363762215,2628565.180139909,,,,,,,,3203138.3087807726,
120,8.5,,2385916.2650811668,,,,,,,2380849.6384757995,,2846526.1482163672,
121,8.571428571428571,,2568126.56241181,,,,,2710079.2756974706,,,,2907534.746675023,
122,8.642857142857142,2257755.750675718,2514072.22351561,,,,2404070.161522283,2834445.8930594274,,,,2836610.956350826,
123,8.714285714285714,,2505474.602633242,,,,,,,,,2698575.768694437,
124,8.785714285714285,,2676344.0347329974,,,,2374314.791562001,,,,,2837123.439505284,
125,8.857142857142856,,2333200.446476894,,,,2274778.923085387,2776792.2226775843,,2473646.778788936,,,
126,8.928571428571429,,2484267.4991205474,,,,2372728.8731273147,,,,,2987403.84287648,
127,9.0,,2377339.8840047508,,,,2396427.844232563,,,,,,
128,9.071428571428571,,2441753.4758191425,,,,2205331.2924609655,2755124.5333216223,,,,3018859.4020778565,
129,9.142857142857142,,,,,,,,,2431557.2994684414,,3095394.1909459936,2725779.690610037
130,9.214285714285714,,,2832806.927356357,,,2300011.486388976,,,2563612.2203177717,2207836.0020638853,2759325.90717848,2774584.700005247
131,9.285714285714285,2078494.4247726647,2276837.3669013404,2733405.5968687125,,,,,,2537919.1115506166,,3038334.18625701,
132,9.357142857142856,,2443650.8696019645,2597535.089288253,,,,,,2342767.8541940125,,,
133,9.428571428571429,,2518125.940137449,2688293.106043374,,,2271676.1125105917,,,,,2928514.279528391,
134,9.5,,2570657.3611188317,2831660.5500240223,,,2386916.4989039786,,,2345840.094353977,,2799062.560922114,
135,9.571428571428571,,2514670.8285093023,,,,,,,2523368.6978575736,,3117362.704459299,2861037.0650822027
136,9.642857142857142,,2711850.5616863393,,,,2382462.90722372,,,2317810.822511695,,3101471.1505809096,2812928.8692410537
137,9.714285714285714,2231629.069936252,,,,,,,,2526851.349441576,,2617897.2227040916,2763825.217655679
138,9.785714285714285,,2679351.8435783996,2804970.4815382627,,,,,,2519620.3128739195,,2587080.44050497,2748714.4141890295
139,9.857142857142856,,2638139.4623147966,,,,2378862.0440159803,,,,,3221538.3877718584,
140,9.928571428571429,,,2843687.613497946,,,2369480.1952232462,,,,,2884493.4733997486,
141,10.0,,2425393.7789591444,2630540.4564129054,,,2364873.9221206345,,,,,3102936.712331544,
142,10.071428571428571,,2383678.72828566,2772058.051660138,,,,,,,,2824886.8437649584,
143,10.142857142857142,,,2772490.2969545713,,,2385747.7889912804,,,,,3314703.6742939935,2823479.660010389
144,10.214285714285714,,,2705380.1524416944,,,2408058.8272910183,,,2490352.9653887697,,3002479.297635261,2735792.912003522
145,10.285714285714285,,2267672.55940596,,,,2358168.608395715,,,2509704.040385361,,2797791.1250392543,
146,10.357142857142856,2277232.161457311,2490085.525801826,,,,2371475.133348066,,,2430109.075377676,,2937723.3466753867,
147,10.428571428571429,2277232.161457311,2484397.2799454755,2840017.094525255,,,,,,,,2852540.7990923845,
148,10.5,,2570322.758498749,,,,2398204.4606309067,,,2525068.0068665775,,2942891.7795275613,2622500.4261896443
149,10.571428571428571,,,,,,,,,,,3115086.552827006,2778625.840413583
150,10.642857142857142,,,,,,,,,,,3030680.6716529513,
151,10.714285714285714,,,,,,2389591.4881084245,,,,,2719073.1108767865,
152,10.785714285714285,2167937.2889431473,,,,,,,,2445408.5037095495,,3057674.5004056245,2840311.0391060244
153,10.857142857142856,,2272215.889292425,,,,,,,2572580.080326503,2232623.8350859997,3300081.9774520597,2705543.616655346
154,10.928571428571429,2238084.7763297474,2384282.030606819,,,,2367149.5113191186,,,,,2917087.095966045,
155,11.0,,2246757.168993762,,,,2282135.8335481063,,,,,2955581.4038181235,
156,11.071428571428571,2147217.0942077013,2416966.586220108,,,,2406877.346222491,,,2363919.1635771086,,2987934.696969361,2640916.1090133344
157,11.142857142857142,2071314.0477032335,2412193.69144793,,,,,,,2530965.441281083,,3086787.191524859,2710409.6831931383
158,11.214285714285714,,2443599.4646459483,,,,,,,2539046.1989976987,,2888796.0610150783,
159,11.285714285714285,,2485333.8708850713,,,,2217390.921833986,,,,,2478246.589754574,
160,11.357142857142856,,2390667.5726324627,,,,,,1874820.995702348,,,2749315.713062337,2767564.869235721
161,11.428571428571429,,2311584.019808963,2586277.9879743466,,,2332266.4740200904,,,2446004.09548924,,3031530.1391745023,
162,11.5,,2312826.368324963,2719528.2977962685,,,,,,2428581.4091125247,,3041391.1527425544,
163,11.571428571428571,,2421320.0187678267,,,,2352890.045953475,,,2485837.9669304863,,3076130.551984435,
164,11.642857142857142,2279495.110023034,2311696.522024387,2746550.877735382,,,,,,,,2706829.7659065616,2803275.8354635425
165,11.714285714285714,,2251825.0422534053,,,,2305102.7470695963,,,2483215.9786965474,,2949137.620359362,
166,11.785714285714285,2159426.7139638895,2421461.30815739,,,,,,,2543383.75874505,2234342.4451702996,3015091.222846208,2752829.220475176
167,11.857142857142856,2263873.7956147213,2476658.9995894483,,,,,,,2589493.8228189526,,2607515.421399587,2859323.3515520245
168,11.928571428571429,,2357478.6790114795,2839692.552119977,,,,,,2463950.8292417726,,2835657.11986337,2739303.914983308
169,12.0,2267382.8283633823,2635008.3172759246,,,,,2500674.8005443173,,2510689.105716083,,2752025.1562926145,2686630.738786629
170,12.071428571428571,2254049.9075803943,2668147.5960491276,,,,,2702981.2748351065,,2484682.5423967694,,3066859.0040539633,2772391.6737217563
171,12.142857142857142,,2400383.41826284,,,,2352858.945565047,,,2511224.9174306802,,2972765.7076051272,2778125.0420198436
172,12.214285714285714,,2400645.828435358,,,,2298933.579494166,,,2505421.525644365,,3064156.442211866,2714372.2331433147
173,12.285714285714285,2274644.242025411,2414675.2018569936,,,,,,,2541023.4728515474,,2928039.0906380443,
174,12.357142857142856,2120587.836762349,2372126.619549848,,,,,,1966635.1680530887,2576119.8703480456,,2537073.073574982,
175,12.428571428571429,2244403.2662451854,2336812.192192347,,,,2352854.9664617334,,,2434714.4690598375,,2831805.2444321676,2859319.6839938476
176,12.5,,2575260.961102138,,,,2301810.3058654424,,1982104.7462724876,2488771.434985481,2195907.467585302,2692309.286948353,
177,12.571428571428571,2103719.0864586663,2425558.595394849,,,,2395156.2754490147,,,2514897.166017616,,2792663.890326581,
178,12.642857142857142,2244928.602762485,2267992.0986498846,,,,,,1977496.9429272688,,,3014063.717812819,2693196.1999637256
179,12.714285714285714,2182429.794581323,2353473.415087418,,,,,,,2360732.2697466207,,3065083.1692882315,2693196.1999637256
180,12.785714285714285,2127186.204330966,2441523.934865562,,,,2339169.751545875,2705136.9839605945,,2553070.8680164088,,2703677.401265316,2693196.1999637256
181,12.857142857142856,2186207.056748056,2390621.6163509525,,,,,,,,,2883945.3952719183,2704715.2557344018
182,12.928571428571429,,2386321.711209733,,,,,,,2333933.1887350683,,2726325.048424158,2860829.759086696
183,13.0,,2191911.4414990777,,,,,,,2539391.2390295975,,3026782.805078617,
184,13.071428571428571,2234875.839521152,2208179.2255628607,,,,,,,2566106.3550676997,,2992777.3449869463,2729701.035964086
185,13.142857142857142,2187838.405998221,2136864.0002424046,,,,2330343.4488677443,2622998.62203527,1991105.438356698,2536208.2641686634,,2834775.0622088085,2784321.0224176054
186,13.214285714285714,2250015.581160953,2353064.503039224,,,,2266963.1239793673,,1965127.5610028186,2502048.1951939953,,3320971.8682599873,
187,13.285714285714285,,,,,,,,,2290943.788025315,,2796616.0173378033,
188,13.357142857142856,2169406.605233753,2513654.3048950876,,,,2241757.0215702713,,,,,2553935.0988489287,2859485.8450313713
189,13.428571428571429,2283475.3163196426,2546669.142633683,,,,2352512.3139080876,,,,,2727807.0157479136,
