Frame,Time,0001_1,0001_10,0001_4,0001_5,0001_6,0001_7,0001_8,0001_9,0002_1,0002_2,0002_3,0002_4,0002_5,0002_7,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8
117,8.285714285714285,,,,,,,,,2360635.8474237807,,,,2187018.6546236197,,,,,2435356.5963292136,,,,,,,,,,,,,
118,8.357142857142856,,,,,,,,,2515528.6607333836,,,,2495615.402624621,,,,,,,,,,,,,,,,,,
119,8.428571428571429,,,,,,,,,2388189.9169475385,,,,2283178.631387731,,,,,,,,,,,,,,,,,,
120,8.5,,,,,,,,,2589549.4584498527,,,,2241879.8533894294,,,,,,,,,,,,,,,,,,
121,8.571428571428571,,,,,,,,1866794.670601377,2436780.149241338,,,,2290097.7169253193,,,,,,,,,,,,,,,,,,
122,8.642857142857142,,,,,,,,,2276482.727920472,,,,2279059.1168144797,,,,,,,,,,,,,,,,,,
123,8.714285714285714,,,,,,,,,2328107.9116917877,,,,2405892.1858127597,,,,,,,,,,,,,,,,,,
124,8.785714285714285,,,,,,,,,2472751.9747292674,,,,2550700.974243396,,,,,,,,,,,,,,,,,,
125,8.857142857142856,,,,,,,,,2548362.2216581544,,,,2420305.3134019603,,,,,,,,,,,,,,,,,,
126,8.928571428571429,,,,,,,,,2529840.7539249444,,,,2299264.809573852,,,,,,,,,,,,,,,,,,
127,9.0,,,,,,,,,2298949.1232400495,,,,2234080.037265541,,,,,,,,,,,,,,,,,,
128,9.071428571428571,,,,,,,,,2285977.6965666967,,,,2300063.059287478,,,,,,,,,,,,,,,,,,
129,9.142857142857142,,,,,,,,,2253616.1935350224,,,,2333086.5423196303,,,,,,,,,,,,,,,,1705108.2448711968,,
130,9.214285714285714,,,,,,,,,2471371.8856813954,,,,2399174.1882791677,,,,,,,,,,,,,,,,,,
131,9.285714285714285,,,,,,,,,2453781.020720383,,,,2389096.504196814,,,,,,,,,,,,,,,,,,
132,9.357142857142856,,,,,,,,,2548462.584075915,,,,2561352.6908931932,,,,2366548.79508215,,,,,,,,,,,,,,
133,9.428571428571429,,,,,,,,,2586312.1567782955,,,,2540926.536588253,,,,2389855.309372018,,,,,,,,,,,,,,
134,9.5,,,,,,,,,2316572.4257990867,,,,2467734.5598733607,,,,,,,,,,,,,,,,,,
135,9.571428571428571,,,,,,,,,2616402.5097074644,,,,2555810.0980981435,,,,,,,,,,,,,,,,,,
136,9.642857142857142,,,,,,,,,2461783.034808312,,,,2553991.3925271276,,,,,,,,,,,,,,,,,,
137,9.714285714285714,,,2111213.249029517,,,,,,2576956.9609889914,,,,2356417.9695798745,,,,,,,,,,,,,,,,,,
138,9.785714285714285,,,,,,,,,2590677.4667521445,,,,2545599.375150426,,,,,,,,,,,,,,,,,,
139,9.857142857142856,,,,,,,,,2294215.189159674,,,,2412997.4297974673,,,,,2543174.5284408084,,,,,,,,,,,,,
140,9.928571428571429,,,,,,,,,2404944.486707463,,,,2207041.851918553,,,,,,,,,,,,,,,,,,
141,10.0,,,,,,,,,2374585.7724796785,,,,2288430.2116705826,,,,,,,,,,,,,,,,,,
142,10.071428571428571,,,,,,,,,2403487.3613210195,,,,2238761.8518114677,,,,,,,,,,,,,,,,,,
143,10.142857142857142,,,,,,,,,2502492.262069634,,,,2100752.1444263826,,,,,,,,,,,,,,,,,,
144,10.214285714285714,,,,,,,,,2386005.6126548466,,,,2100752.1444263826,,,,,,,,,,,,,,,,,,
145,10.285714285714285,,,,,,,,,2417114.9086806145,,,,2100752.1444263826,,,,,,,,,,,,,,,,,,
146,10.357142857142856,,,,,,,,,2508441.9012267087,,,,2100752.1444263826,,,,,,,,,,,,,,,,,,
147,10.428571428571429,,,,,,,,,2621927.57295968,,,,2100752.1444263826,,,,,,,,,,,,,,,,,,
148,10.5,,,,,,,,,2393103.5194560494,,,,,,,,,,,,,,,,,,,2207752.6090033944,,,
149,10.571428571428571,,,,,,,,,2575741.8285923735,,,,2121554.2974542403,,,,,,,,,,,,,,,,,,
150,10.642857142857142,,,,,,,,,2321423.088339691,,,,2121554.2974542403,,,,,,,,,,,,,,,,,,
151,10.714285714285714,,,,,,,,,2482685.7646082337,,,,2121554.2974542403,,,,,,,,,,,,,,,,,,
152,10.785714285714285,,,,,,,,,2608277.913604635,,,,2121554.2974542403,,,,,,,,,,,,,,,,,,
153,10.857142857142856,,,,,,,,,2442357.2324922406,,,,2044664.1253730915,,,,,,,,,,,,,,,,,,
154,10.928571428571429,,,,,,,,,2514328.1010673405,,,,2044664.1253730915,,,,,,,,,,,,,,,,,,
155,11.0,,,,,,,,,2500649.012700859,,,,2022528.277706879,,,,,,,,,,,,,,,,,,
156,11.071428571428571,,,,,,,,,2351197.629439411,,,,,,,,,,,,,,,,,,,,,,
157,11.142857142857142,,,,,,,,,2394169.1397589575,,,,2012904.4301193792,,,,,,,,,,,,,,,,,,
158,11.214285714285714,,,,,,,,,2466345.828563097,,,,1986951.0047623392,,,,,,,,,,,,,,,,,,
159,11.285714285714285,,,,,,,,,2221122.024692182,,,,1986951.0047623392,,,,,,,,,,,,,,,,,,
160,11.357142857142856,,,,,,,,,2443075.009046549,,,,1999270.3697898472,,,,,,,,,,,,,,,,,,
161,11.428571428571429,,,,,,,,,2498537.4503398617,,,,2005462.2791639462,,,,,,,,,,,,,,,,,,
162,11.5,,,,,,,,,2535294.3450486036,,,,,,,,,,,,,,,,,,,,,,
163,11.571428571428571,,,,,,,,,2344867.7570600007,,,,2147568.80574732,,,,,,,,,,,,,,,,,,
164,11.642857142857142,,,,,,,,,2491521.8027313696,,,,2275701.7918863343,,,,,,,,,,,,,,,,,,
165,11.714285714285714,,,,,,,,,2206417.0321247675,,,,2392403.0179558643,,,,,,,,,,,,,,,,,,
166,11.785714285714285,,,,,,,,,2359082.200627176,,,,2568609.179741739,,,,,,,,,,,,,,,,,,
167,11.857142857142856,,,,,,,,,2365233.0518342005,,,,2508925.7059573513,,,,,,,,,,,,,,,,,,
168,11.928571428571429,,,,,,,,,2343239.270612625,,,,2703846.0314347884,,,,,,,,,,,,,,,,,,
169,12.0,,,,,,,,,2330021.321507319,,,,2413910.9844080536,,,,,,,,,,,,,,,,1669064.0079361524,,
170,12.071428571428571,,,,,,,,,2369136.003880955,,,,2368643.790415627,,,,,,,,,,,,,,,,1865404.9636592474,,
171,12.142857142857142,,,,,,,,,2416431.533271683,,,,2442067.5320819397,,,,,,,,,,,,,,,,,,
172,12.214285714285714,,,,,,,,,2313681.91626472,,,,2389413.262155972,,,,,,,,,,,,,,,,,,
173,12.285714285714285,,,,,,,,,2298424.188027991,,,,2451186.235656869,,,,,,,,,,,,,,,,,,
174,12.357142857142856,,,,,,,,,2589182.628219216,,,,2316662.4012160404,,,,,,,,,,,,,,,,,,
175,12.428571428571429,,,,,,,,,2659881.557341173,,,,2571752.509922596,,,,,,,,,,,,,,,,,,
176,12.5,,,,,,,,,2344898.0079023023,,,,2371479.035603764,,,,,,,,,,,,,,,2100879.915352163,,,
177,12.571428571428571,,,,,,,,,2238886.890818113,,,,2439113.214461916,,,,,,,,,,,,,,,,,,
178,12.642857142857142,,,,,,,,,2428456.741562865,,,,2259867.129184617,,,,,,,,,,,,,,,,,,
179,12.714285714285714,,,,,,,,,2512344.275355243,,,,2414420.055015678,,,,,,,,,,,,,,,,,,
180,12.785714285714285,,,,,,,,,2328995.2841314846,,,,2290484.2581078634,,,,,,,,,,,,,,,,,,
181,12.857142857142856,,,,,,,,,2260434.0335689457,,,,2530610.9798046057,,,,2434184.5068414095,,,,,,,,,,,,,,
182,12.928571428571429,,,,,,,,,2370012.671674018,,,,2383628.7460710485,,,,2448600.605819944,,,,,,,,,,,,,,
183,13.0,,,,,,,,,2385179.0737749534,,,,2485551.0277116806,,,,,,,,,,,,,,,,,,
184,13.071428571428571,,,,,,,,,2382345.6425387296,,,,2446734.493510718,,,,,,,,,,,,,,,,,,
185,13.142857142857142,,,,,,,,,2120496.345368887,,,,2455424.6321988595,,,,,,,,,,,,,,,,,,
186,13.214285714285714,,,,,,,,,2409411.016356474,,,,2538151.5626501893,,,,,,,,,,,,,,,,,,
187,13.285714285714285,,,,,,,,,2343953.273298132,,,,2395876.896715574,,,,,,,,,,,,,,,,,,
188,13.357142857142856,,,,,,,,,2236531.3950555427,,,,2582103.6536676106,,,,,,,,,,,,,,,,,,
189,13.428571428571429,,,,,,,,,2426445.216992123,,,,2322908.6825885247,,,,,,,,,,,,,,,,,,
190,13.5,,,,,,,,,2348870.2014284693,,,,2516111.246573096,,,,,,,,,,,,,,,,,,
191,13.571428571428571,,,,,,,,,2501819.735724844,,,,2430083.9773330046,,,,,,,,,,,,,,,,,,
192,13.642857142857142,,,,,,,,,2116164.3728198856,,,,2529494.473273952,,,,,,,,,,,,,,,,,,
193,13.714285714285714,,,,,,,,,2274764.07155357,,,,2345226.1640557195,,,,,,,,,,,,,,,,,,
194,13.785714285714285,,,,,,,,,2271691.2267794665,,,,2292957.205053625,,,,,,,,,,,,,,,,,,
195,13.857142857142856,,,,,,,,,2247067.4376191553,,,,2423478.5879326155,,,,,,,,,,,,,,,,,,
196,13.928571428571429,,,,,,,,,2343201.5496090557,,,,2431549.749108843,,,,,,,,,,,,,,,,1594652.4669971187,,
197,14.0,,,,,,,,,2162313.8600448947,,,,2573251.4254475352,,,,,,,,,,,,,,,,,,
198,14.071428571428571,,,,,,,,,2202528.863658509,,,,2485166.0670163888,,,,,,,,,,2184558.46443322,,,,,,,,
199,14.142857142857142,,,,2600106.4908655314,,,,,2606241.9796933574,,,,2396114.22781818,,,,,,,,,,,,,,,,,,
200,14.214285714285714,,,,,,,,,2303036.785691431,,,,2376019.7096581426,,,,,,,,,,,,,,,,,,
201,14.285714285714285,,,,,,,,,,,,,2380978.192128058,,,,,,,,,,,,,,,,,,
202,14.357142857142856,,,,,,,,,,,,,2407910.156856402,,,,,,,,,,,,,,,,1681895.7477776082,,
203,14.428571428571429,,,,,,,,,,,,,2488827.503522407,,,,,,,,,,,,,,,,1834218.054038366,,
204,14.5,,,,,,,,,2153317.7807893027,,,,2430653.189230724,,,,,,,,,,,,,,,,1745049.368184599,,
205,14.571428571428571,,,,,,,,,2153317.7807893027,,,,2519556.3254800923,,,,,,,,,,,,,,,,1750734.7909707641,,
206,14.642857142857142,,,,,,,,,,,,,2474186.5011002277,,,,,,,,,,,,,,,2203353.5060511352,,,
207,14.714285714285714,,,,,,,,,,,,,2567754.0593782878,,,,,,,,,,,,,,,,,,
208,14.785714285714285,,,,,,,,,,,,,2528631.0167034804,,,,,,,,,,,,,,,,,,
209,14.857142857142856,,,,,,,,,,,,,2481929.346315374,,,,,2496723.166241132,,,,,,,,,,,,,
210,14.928571428571429,,,,,,,,,,,,,2494378.1998475213,,,,,2496723.166241132,,,,,,,,,,,,,
211,15.0,,,,,,,,,,,,,2451446.3297959846,,,,,2496723.166241132,,,,,,,,,,,,,2382856.712521059
212,15.071428571428571,,,,,,,,,,,,,2518243.885330702,,,,,2496723.166241132,,,,,,,,,,,,,
213,15.142857142857142,,,,,,,,,2316798.374448365,,,,2444711.4107797965,,,,,2415968.826696116,,,,,,,,,,2203009.187142784,,,
214,15.214285714285714,,,,,,,,,2411404.6673249924,,,,2671182.6455621202,,,,,,,,,,,,,,,2088837.5724719209,,,
215,15.285714285714285,,,,,,,,,2428257.4420231883,,,,2253994.9917258997,,,,,,,,,,,,,,,1991359.9291271728,,,
216,15.357142857142856,,,,,,,,,2206716.703239093,,,,2523644.8236733866,,,,,,,,,,,,,,,,,,
217,15.428571428571429,,,,,,,,,2199199.069488142,,,,2318157.3542594626,,,,,,,,,,,,,,,,,,
218,15.5,,,,,,,,,2392164.5802905103,,,,2468064.7769284477,,,,,,,,,,,,,,,,,,
219,15.571428571428571,,,,,,,,,2166282.079697339,,,,2440202.7484350903,,,,,,,,,,,,,,,,,,
220,15.642857142857142,,,,,,,,,2339728.189830797,,,,2369936.33145627,,,,,,,,,,,,,,,,,,
221,15.714285714285714,,,,,,,,,2361026.949369284,,,,2441348.2318715462,,,,,,,,,,,,,,,,,,
222,15.785714285714285,,,,,,,,,2374097.209591957,,,,2327601.2622575117,,,,,,,,,,,,,,,,,,
223,15.857142857142856,,,,,,,,,2255085.5359457857,,,,2325662.4424947766,,,,,,,,,,,,,,,,,,
224,15.928571428571429,,,,,,,,,2194023.184868538,,,,2332665.1722952505,,,,,,,,,,,,,,,,,,
225,16.0,,,,,,,,,2205685.0516902115,,,,2466078.6761165876,,,,,,,,,,,,,,,,1498685.0031905486,,
226,16.07142857142857,,,,,,,,,2241328.3700933172,,,,2534047.750635612,,,,,,,,,,,,,,,,,,
227,16.142857142857142,,,,,,,,,,,,,2419960.857415915,,,,,,,,,,,,,,,2003716.0984000105,,,
228,16.21428571428571,,,,,,,,,2088563.22544872,,,,,,,,,,,,,,,,,,,1975896.8097154074,,,
229,16.285714285714285,,,,,,,,,2072406.0391010963,,,,2498879.2108271504,,,,,,,,,,,,,,,2054879.766088687,,,
230,16.357142857142858,,,,,,,,,,,,,2252621.7757586963,,,,,,,,,,,,,,,2054879.766088687,,,
231,16.428571428571427,,,2117505.8766627167,,,,,,,,,,2116147.782859577,,,,,,,,,,,,,,,,,,
232,16.5,,,,,,,,,,,,,2058651.1473973459,,,,,,,,,,,,,,,,,,
