Condition_mM,Track,Time,MidpointBendingAngle_deg,AutocorrPeakR,AutocorrPeriod_s,ZeroCrossings_10s,WindowAmplitude_deg,ThrashRate_Hz
21,0001_1,13.928571428571429,-28.676585809756443,0.21029165666775926,0.7142857142855519,18,172.7177092570279,1.4000000000003183
21,0001_1,14.0,48.06616054706713,0.21029165666775926,0.7142857142855519,18,172.7177092570279,1.4000000000003183
21,0001_1,14.071428571428571,48.06616054706713,0.21029165666775926,0.7142857142855519,18,172.7177092570279,1.4000000000003183
21,0001_1,14.142857142857142,48.06616054706713,0.2166910886529691,0.5714285714284415,18,172.7177092570279,1.750000000000398
21,0001_1,14.214285714285714,-24.67314967229836,0.21365716901726195,0.5714285714284415,18,172.7177092570279,1.750000000000398
21,0001_1,14.285714285714285,-24.67314967229836,0.21964352881373223,0.5714285714284415,18,172.7177092570279,1.750000000000398
21,0001_1,14.357142857142856,-41.73253352525866,0.21964352881373223,0.5714285714284415,18,172.7177092570279,1.750000000000398
21,0001_1,14.428571428571429,-14.824774588641962,0.2202726249629796,0.5714285714284415,18,172.7177092570279,1.750000000000398
21,0001_1,14.5,,,,0,,
21,0001_1,14.571428571428571,14.855311801303033,0.2202726249629796,0.5714285714284415,18,172.7177092570279,1.750000000000398
21,0001_1,14.642857142857142,-25.73770324329049,0.20586622966523968,0.5714285714284415,18,172.7177092570279,1.750000000000398
21,0001_1,14.714285714285714,0.5682554016710284,0.20630488614966574,0.7142857142855519,18,172.7177092570279,1.4000000000003183
21,0001_1,14.785714285714285,0.5682554016710284,0.1790222795157632,0.7142857142855519,17,173.06849391191656,0.0
21,0001_1,14.857142857142856,-15.417680871042473,0.1790222795157632,0.7142857142855519,17,173.06849391191656,0.0
21,0001_1,14.928571428571429,30.406870939701577,0.11846543701028324,0.7142857142855519,17,194.5896913830903,0.0
21,0001_1,15.0,,,,0,,
21,0001_1,15.071428571428571,-0.47818155860826295,0.11131449944336817,1.2857142857139934,16,194.5896913830903,0.0
21,0001_1,15.142857142857142,-40.56180485045262,0.1117346410884263,1.2857142857139934,16,194.5896913830903,0.0
21,0001_1,15.214285714285714,-40.56180485045262,0.1103046044851474,1.2857142857139934,16,194.5896913830903,0.0
21,0001_1,15.285714285714285,,,,0,,
21,0001_1,15.357142857142856,,,,0,,
21,0001_1,15.428571428571429,,,,0,,
21,0001_1,15.5,-59.13219554722303,0.11790606043202079,1.2857142857139934,17,216.22599177759753,0.0
21,0001_1,15.571428571428571,-26.933937600491088,0.11902399774786768,1.2857142857139934,17,216.22599177759753,0.0
