Condition_mM,Track,Time_to_max_speed_loss_s,Min_normalized_speed_pct,Max_speed_loss_pct
750,0001_2,197.7142857142857,0.04784823672575863,99.95215176327424
750,0001_3,371.0,0.009042854593829613,99.99095714540617
750,0001_4,588.0,0.00859603692387195,99.99140396307612
750,0001_5,209.14285714285717,0.0,100.0
750,0001_6,284.7857142857143,0.0,100.0
750,0002_1,192.0,0.0,100.0
750,0002_2,96.14285714285714,0.24145638838141817,99.75854361161858
750,0002_3,234.64285714285717,0.0,100.0
750,0002_4,337.4285714285714,0.0,100.0
750,0002_5,526.8571428571428,0.0,100.0
750,0003_1,326.7857142857143,0.0,100.0
750,0003_2,511.8571428571428,0.0,100.0
750,0003_3,308.35714285714283,0.0,100.0
750,0003_4,188.35714285714283,0.0,100.0
750,0003_5,295.85714285714283,0.0,100.0
750,0003_6,440.4285714285714,0.0049553857227802615,99.99504461427722
750,0003_7,313.35714285714283,0.0,100.0
750,0003_8,310.4285714285714,0.0,100.0
850,0002_1,86.28571428571428,0.14968936612544761,99.85031063387456
850,0002_2,456.8571428571428,0.0,100.0
850,0002_3,374.07142857142856,0.0029857295927862015,99.99701427040722
850,0002_4,38.64285714285714,0.5121037419135631,99.48789625808644
850,0003_1,300.7142857142857,0.0,100.0
850,0003_2,378.5,0.0,100.0
850,0003_3,263.35714285714283,0.0,100.0
850,0003_4,189.57142857142856,0.004982322936809679,99.99501767706319
850,0003_5,208.85714285714283,0.0,100.0
850,0003_6,252.35714285714283,0.0,100.0
850,0003_7,418.3571428571428,0.0,100.0
850,0003_8,199.28571428571428,0.0,100.0
850,0003_9,359.5,0.0,100.0
850,0003_10,286.2142857142857,0.0,100.0
850,0004_1,191.7142857142857,0.0,100.0
850,0004_2,566.1428571428571,0.0,100.0
850,0004_3,205.14285714285717,0.00418393568297322,99.99581606431703
850,0004_4,539.0714285714286,0.0007290542366265252,99.99927094576337
850,0004_5,231.14285714285717,0.003265546100317584,99.99673445389968
850,0004_6,537.0714285714286,0.00962143294958688,99.99037856705041
850,0004_7,382.5,0.0034231336024226765,99.99657686639758
850,0004_8,371.0,0.0,100.0
950,0001_1,363.9285714285714,0.010960593756111234,99.98903940624389
950,0001_2,185.42857142857144,0.0,100.0
950,0001_3,384.57142857142856,0.0,100.0
950,0001_4,227.07142857142856,0.0,100.0
950,0001_5,280.7142857142857,0.014382618693263525,99.98561738130674
950,0001_6,247.57142857142856,0.0,100.0
950,0002_1,555.2142857142857,0.0,100.0
950,0002_2,570.4285714285714,0.0,100.0
950,0002_3,449.0,0.0,100.0
950,0002_4,188.7142857142857,0.0,100.0
950,0003_1,333.6428571428571,0.014583488441816225,99.98541651155818
950,0003_2,448.1428571428571,0.0,100.0
950,0003_3,387.3571428571428,0.009501451489985125,99.99049854851002
950,0003_4,331.2857142857143,0.0,100.0
950,0003_5,323.1428571428571,0.0,100.0
950,0003_6,179.0,0.005495256793110273,99.99450474320689
