Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3
69,4.857142857142857,,2897772.429351672,2594714.7285736706,2323777.1392381913,2385931.810047325,2328711.266194463,2490250.707167251,2775144.3220928335,2294712.97175561,2915039.8847494195,3308020.440184413,3227921.2479916937,,3364915.3309259755,2720187.142485571,2874142.691096931,2408894.9105971646,2466633.4879113766,2655283.2636928596
70,4.928571428571428,,3049133.124642174,2463172.6488500126,2330136.9175401563,2321910.835269466,2377787.3666724274,2434408.3015085207,2655073.2348670596,2376816.9483182845,2932476.9717329885,3212800.133969672,3353617.872723591,,3295352.213419677,2703533.046760009,3162557.389738981,2341260.4040759727,2512391.898516526,2835068.5358661697
71,5.0,,,2406098.2305059806,2093202.5258073402,2487122.5212501804,1886053.416015634,2507619.85608326,2431336.823778455,2411187.179911337,3090194.458501256,3211385.2546566017,3178773.5168855917,,3077732.001817468,2616936.23677124,2815349.872348826,2368250.371752305,2345655.1295321896,2930052.8514196314
72,5.071428571428571,,2976182.6563297785,2248552.2767817434,1832820.077391763,2287946.53384779,1874246.8689706845,2570465.0692808987,2593913.9054924464,2304824.160871488,2977656.0606038743,3379117.475671468,3020206.073926056,,3120211.368249721,2651779.3272094326,2786866.1491059517,2568349.207679775,2692430.713254764,2486796.8891508724
73,5.142857142857142,,3093548.2513425723,,2218028.738452114,2232686.2779076444,,2549798.807253133,2469481.8465958424,2388112.371446658,2824305.2673200467,3069066.2009652173,3353122.308001609,3038904.8652351354,3210663.3739387696,2855156.315017719,,2439060.9246885725,2555863.4090790055,2240896.1903143427
74,5.214285714285714,,3187233.3743526526,,2246230.169825715,2257221.4765555463,,2503142.624478528,2487949.6495010457,2283650.528228162,3023478.071115167,3253143.5437290836,3207652.918835388,3435241.8796205996,2948839.8015650464,2804422.5174398897,,2590801.1515059276,2573311.775905303,2442740.9630387216
75,5.285714285714286,,,2219397.0677717803,2453764.7837956254,2240310.2971123485,2099021.9651722047,2582573.2520868573,2629073.0783822737,2214942.6865159883,2756318.469844166,3316686.950284641,3074036.972586067,3213591.244161416,3287243.780276936,2711584.2410167,,2606850.328371423,2340320.5337965395,2515664.800252811
76,5.357142857142857,,2911513.12451417,2297486.2618051604,2273285.8982590665,2389346.8656776994,2185277.5202321596,2350674.8951849127,2859893.628985412,,2896819.8877926366,3209704.4630891276,3257909.0052273436,3064146.469391609,3071227.4593977747,2705433.4036726435,2810686.4303735327,2681226.26332172,2465285.4818399576,2772883.049686062
77,5.428571428571428,,,2419081.8122579325,2268143.7342334227,2250805.9565434256,2496025.87406014,2419049.539177102,,,2798700.87352496,3458134.209707719,3146402.3783382815,3364449.292122368,3357796.819495241,2765402.3815995175,,2617008.806363036,2501576.3106572065,2575102.9738771347
78,5.5,,,2345588.2924895487,2037226.203250059,2493738.4356167167,1858297.7505106884,2394991.702250257,2657358.16153015,2279601.6532894983,2798536.5628655264,3412638.271938484,3109998.34727897,3508410.55201573,3407579.2288954356,2600957.8765473585,,2438743.1791209197,2382886.6754758623,2677128.33652974
79,5.571428571428571,,,,2214559.755716245,2223141.240703467,1986805.132201464,2526190.8917461727,2682378.501631414,2181737.492302092,2840329.0428725043,3138139.890790261,2957182.945871622,3240665.5481961044,2953792.7734778733,2833737.607849953,,2494024.73610488,2564918.753385022,2533569.637964243
80,5.642857142857142,,2933030.6022463012,,2208902.6258643116,2361907.5484380443,,2441917.578422514,2497836.8073076694,2148871.3120200178,2923146.7516577733,3120829.5066224993,3163109.6110025733,3043919.465132738,3185904.655472422,2906271.8115155827,3210450.7271306827,2408602.5103024915,2522758.8114484106,2576192.5793403364
81,5.7142857142857135,,2980664.003953069,2548128.1019325317,2248783.968242113,2502779.41303238,2408545.651483549,2543626.874933906,2755682.919880181,2315724.1707915096,3051986.1973999124,3242219.25221022,3218621.0719180964,3119206.5643145163,3148308.7411646615,2820856.5936383978,2904366.0078012403,2661312.722940323,2465350.633459215,2715655.743912982
82,5.785714285714286,,,2248506.7610444967,2190338.821361993,,2325168.1759650926,2568535.9263210953,2534817.30607465,,2944211.5319575765,3275727.469970396,3043054.17565028,3185628.791094984,3212868.8189822356,2724494.9798977682,2806633.800939983,2532583.244830986,2490268.222804703,2649220.622625909
83,5.857142857142857,,2843477.1589237144,,2106668.041617357,2407096.5565754115,2609071.0197877316,2416966.8456934984,2462518.4283046946,2115695.1435947586,2887250.88088677,3187148.404978647,3065435.0706146774,3324269.860335189,3045462.1844067606,2873740.110548727,2703791.374139143,2874319.5254272274,2427833.2329428536,2517954.5034699473
84,5.928571428571428,,3404675.3012020956,,2016809.646326082,2234442.2325000647,2225899.086862787,2435322.998386678,2285699.834779002,2537616.897418903,2915420.5428544204,3235049.7896240894,3115404.730047483,3363738.1310105347,3241532.0599118383,2969858.31479708,2809342.4152264223,2785822.0467748153,2372698.1977602444,2978757.8562896503
85,6.0,,2889739.6363648097,,2045786.8821766977,2223670.515344051,2001700.407915181,2650534.279396932,2193884.37382952,2233744.1334803216,2828407.7084510825,3182233.0866466,3252359.925415948,3339552.257294899,3194480.6668591034,2968603.010105471,,2330100.2314270716,2637261.9022705727,2850324.6475231326
86,6.071428571428571,,3293092.1365280105,,2174544.8808990302,2422275.4830375654,1898998.1630457032,2253935.3267484456,2488310.7800577823,2098352.303925163,2933907.603355645,3229863.1036450635,2891722.880117958,3222633.578581708,3120335.9467395004,2830171.455144619,,2519049.533771199,2438621.693015949,2899270.300852848
87,6.142857142857142,,3141015.6047748267,2314980.5211217906,2215229.8686177703,,,2368571.722843989,2525746.2745875763,2376026.3714429974,2895690.0847351747,3124947.2531070285,3266526.1147587546,3191984.19172088,3479578.7097626496,2758236.160999351,2966691.6563382205,2327544.8715636353,2395171.7731935857,2746572.090459308
88,6.2142857142857135,,3017175.7512559243,2337947.3053555805,2514255.9526433493,,2582294.197984329,2441363.476660098,2520213.64726789,2268252.524602669,3070878.0350568504,3270601.678583311,2987855.022395225,3191984.19172088,3018465.0677763154,2751767.6202645996,2919928.2307722145,2460032.4638613393,2677614.9153429614,2587781.4317477336
89,6.285714285714286,,2990987.86557526,2341750.169472851,1987554.567659202,,2157208.662530707,2691334.1194337797,2729371.3422184484,2134066.7423225213,2952434.8546549585,3334781.8459407077,2944161.0266238702,3598405.1953926524,3245466.520060093,2638755.790416484,,2383865.169117897,2672203.01101322,2455809.2547664214
