Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3,0007_1,0007_2,0007_3
36,2.5,,2974518.1932521327,2516815.9846969442,,2370779.823459062,2577188.068412739,2476535.2885981896,2352156.803245472,2689219.3057059175,2185369.6625739615,2267382.693699503,2828734.6022161073,3208993.086131254,2975521.079393965,,2522024.0586113366,2374672.2598197474,2780366.1724029244,3550036.2186518554,2857431.5919766105,3639072.8483279827
37,2.571428571428571,2438585.221588621,3104035.495003117,2254120.660419389,,2165075.9213673146,2335597.849762256,2164658.9222360025,2442359.561932673,2335159.9870508662,2314157.0370241883,2234722.448763088,2682265.4408418443,3178912.939564861,2945881.7826172486,,2520943.081971724,2563898.2080800985,2906156.972030565,3401653.281227734,2904994.3413778045,3336669.882101764
38,2.642857142857143,,,2453321.300005434,,2271945.0190291996,2307752.746372265,2208186.107208083,2565639.592104282,2852647.3130893824,2317114.558329951,2235783.150617004,2753234.987431334,3026638.0846538274,2929977.1993925893,,2493482.110862239,2512232.997616657,2624162.3653360605,3322294.782575109,,3083294.557957355
39,2.714285714285714,,2923707.507980143,2283896.7877694382,,2051802.7619798821,2356369.8209218,2084644.2421330423,2601401.6487483038,2812404.558234581,2113912.753492465,2432220.669080178,2494727.0366701027,3421302.4858755907,2967057.690047209,,2433058.0722414083,2506535.2380891945,2777453.0052996804,2987429.52326997,,3449673.015153969
40,2.7857142857142856,2570063.169240319,2851333.1083451854,2202030.232631087,,2053143.8804941722,2295126.1990230246,1875132.1883507685,2539436.888653092,2641229.6288976553,2344354.0735673066,2139823.300625232,2634035.9400524194,3448136.3059471943,3052118.3824221394,,2502611.0431399806,2716717.778348289,2628905.8359633437,3301672.325564899,,3712722.3221408026
41,2.8571428571428568,,2980230.8663261817,2546410.385331824,,2120542.0791232623,2329610.9195423205,1992140.099397948,2553553.927458597,2529006.2914634775,2259831.9111033324,2196540.7871787585,2526874.117019962,3110602.5019424087,2996283.451290873,,2345062.8557161153,2443892.1247343686,2978369.8213354857,3670682.064494019,3036697.7553418977,3610145.6587249166
42,2.9285714285714284,,,2354641.581326693,,2219352.295968718,2350444.244584649,,2423267.610637872,2488767.148888109,2282716.9585263617,2367785.4536766056,2592285.2297048266,3006019.6159211714,2924435.791997135,,2510188.8340975614,2653107.7566440827,,3653828.779015841,2921715.8233173667,3787804.2963406146
43,3.0,,,,,2353352.923965236,2366755.5108554885,,2441185.306516401,2402259.426253266,2459311.255996247,2279732.9041055525,2630239.2259196127,3168004.0949265184,3007595.7984243548,,2348450.086659743,2452160.625661724,2868955.7855534498,3273220.252877429,2860983.40470376,3341747.948338383
44,3.071428571428571,,3054048.8712114887,2487310.9664589604,,2144797.7490855064,2646323.575408029,,2316228.6035458236,,2268158.315231417,,2606246.6735463687,3533508.759192322,2891989.764460883,,2499093.3852760824,2626861.2181020407,2715138.9224874396,3475899.2216719277,,2766694.6319320765
45,3.142857142857143,,3209977.9189018575,2632600.4675442954,,2263677.688578772,2356823.8236389933,,2324233.958336054,,2368561.749467978,2430059.8132622815,2756554.0015392983,3256464.009235002,2864725.6804900155,,2534645.0162156424,2402876.6501442227,2958713.542835821,3652818.0757002872,,3551230.8655847074
46,3.214285714285714,,3135606.6987573663,2658841.4625436245,,2094018.5414071518,2247326.069059484,,2385305.7222557673,2771226.7899443433,2306916.1612783703,2547873.9028704064,2699288.78735076,2941778.9277212713,2620628.230607356,,2546694.8181152255,2504292.4675808605,2941267.8862392036,3507469.5849381695,,3601102.3303180896
