Condition_mM,Track,Modality,DynamicRangePct,OnsetTime_s
550,0002_4,Speed,89.0865832508372,116.35714285714285
550,0002_5,Speed,99.69652379537774,10.071428571428571
650,0001_1,Speed,96.45475765328003,13.428571428571429
650,0001_2,Speed,91.96731047869177,148.92857142857142
650,0001_3,Speed,94.01421178154305,32.14285714285714
650,0001_4,Speed,98.60803304153987,13.357142857142856
650,0001_5,Speed,99.1870917172145,56.35714285714285
650,0001_6,Speed,99.22441794423516,23.642857142857142
650,0001_7,Speed,99.10519187096267,60.71428571428571
650,0001_8,Speed,98.01586029623448,55.285714285714285
650,0002_1,Speed,99.0408038651054,27.85714285714285
650,0002_2,Speed,99.39817741795305,34.285714285714285
650,0002_3,Speed,98.99550641996473,36.14285714285714
650,0002_4,Speed,99.51686986869593,44.5
650,0002_5,Speed,97.96300057352461,87.71428571428571
650,0002_6,Speed,98.76641800545013,26.785714285714285
650,0003_1,Speed,99.4906772785712,29.71428571428571
650,0003_2,Speed,99.69175131966406,30.85714285714285
650,0003_3,Speed,99.47868629104539,94.78571428571428
650,0003_4,Speed,99.72711900412294,25.07142857142857
650,0003_5,Speed,98.72415453006136,1.1428571428571428
650,0003_6,Speed,99.82534665208964,65.21428571428571
650,0003_7,Speed,94.60765908982782,26.35714285714285
650,0003_8,Speed,99.63531028981497,24.0
650,0004_1,Speed,99.75373204348254,12.785714285714285
650,0004_2,Speed,98.12615129652376,33.285714285714285
650,0004_3,Speed,98.28448768531202,73.28571428571428
650,0004_4,Speed,99.32654026953963,40.285714285714285
650,0004_5,Speed,99.70962403538067,35.92857142857142
650,0004_6,Speed,99.01802728297622,25.57142857142857
650,0004_7,Speed,99.18364748033356,21.642857142857142
650,0004_8,Speed,99.48560293938424,1.5
650,0005_1,Speed,99.03158914970832,42.57142857142857
650,0005_2,Speed,98.68932302781323,53.35714285714285
650,0005_3,Speed,98.9535190916443,11.214285714285714
650,0005_4,Speed,99.81025269178063,40.42857142857142
650,0005_5,Speed,99.27557645837324,23.285714285714285
650,0005_6,Speed,98.44908394968705,22.642857142857142
650,0006_1,Speed,99.27916367328889,5.428571428571428
650,0006_2,Speed,99.40605901556629,57.21428571428571
650,0006_3,Speed,99.82050912265218,18.07142857142857
650,0006_4,Speed,99.73546747215792,41.85714285714285
650,0006_5,Speed,97.02171033727834,74.14285714285714
650,0006_6,Speed,99.8965499861273,4.642857142857142
650,0006_8,Speed,98.94239325952493,115.78571428571428
650,0007_1,Speed,99.76014268238148,11.214285714285714
650,0007_2,Speed,99.2916573156123,12.571428571428571
650,0007_3,Speed,98.14468643948113,124.71428571428572
650,0007_4,Speed,99.2507440636132,117.14285714285714
650,0007_5,Speed,99.76986700220947,14.0
650,0007_6,Speed,99.79432322876353,85.07142857142857
650,0007_7,Speed,99.25945585727813,98.85714285714285
650,0007_8,Speed,99.4544009462684,43.42857142857142
650,0007_9,Speed,99.1037107538096,101.0
750,0001_1,Speed,99.5567087831908,21.928571428571427
750,0001_2,Speed,90.96620838992983,93.28571428571428
750,0001_3,Speed,92.28732670090413,9.428571428571429
750,0001_4,Speed,99.37080970819919,110.78571428571428
750,0001_5,Speed,98.87590692539297,15.642857142857142
750,0001_6,Speed,99.6160527615597,16.928571428571427
750,0002_1,Speed,96.9200538033701,10.928571428571429
750,0002_2,Speed,91.68443930977888,48.42857142857142
750,0002_3,Speed,97.78078560646995,19.428571428571427
750,0002_4,Speed,97.48589369046879,3.071428571428571
750,0002_5,Speed,98.09100890745,16.428571428571427
750,0003_1,Speed,99.71216070279695,9.0
750,0003_2,Speed,99.16100949540608,16.07142857142857
750,0003_3,Speed,99.88630470178077,28.5
750,0003_4,Speed,99.71407600079286,16.142857142857142
750,0003_5,Speed,99.2873508511714,58.21428571428571
750,0003_6,Speed,99.1658311991146,25.07142857142857
750,0003_7,Speed,99.34741053099174,65.78571428571428
750,0003_8,Speed,99.77637351908105,68.5
850,0002_1,Speed,97.30495098586746,10.142857142857142
850,0002_2,Speed,99.71545539161578,41.71428571428572
