Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0002_1,0002_2,0002_3,0002_4,0003_1,0003_10,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_10,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0004_9
152,10.785714285714285,,,,,1396893.3001757816,,,,,,,,,,,,2414251.947602123,2723856.3681226745,,,,,,,,,,,,
153,10.857142857142856,,,,,1462103.5311723752,,,,,2391399.2806611867,,,,,,,,2430883.8346061916,,,,,,,,,,,,2514584.4399030623
154,10.928571428571429,,,2193623.317771561,,,,,,,,,,,,,,2515938.8921008185,2569119.268976279,,,,,,,,,,,,2436675.493264563
155,11.0,,,,,1458292.9968526652,,,,,,,,,,,,,2713920.5307125393,,,,,,,,,,,,2471674.8864932586
156,11.071428571428571,,,,,,,,,,,,,,,,,2578548.394718494,2707668.5688054156,,,,,,,,,,,,
157,11.142857142857142,,,2198303.8316963273,,,,,,,,,,,,,,,2629256.6903303233,,,,,,,,,,,,
158,11.214285714285714,,,,,,,,,,,,,,,,,,2555145.218040984,,,,,,,,,,,,2303508.4434460183
159,11.285714285714285,,,,,,,,,,,,,,,,,,2516331.428218019,,,,,,,,,,,,2498796.0914677507
160,11.357142857142856,,,,,1437395.8629457157,,,,,,,,,,,,,2372078.1847562115,,1902313.9952011264,,,,,,,,2489899.898942171,,2461464.138429229
161,11.428571428571429,,,,,,,,,,,,,,,,,,2401785.3801112543,,1899202.3718690271,,,,,,,,,,2508009.15622026
162,11.5,,,,,1432478.5940458672,,,,,,,,,,,,,2634340.9927307577,,,,,,,,,,,,2460189.53962285
163,11.571428571428571,,,,,1414304.269741939,,,,,,,,,,,,,2667111.9131692187,,,,,,,,,,,,2265387.8922735546
164,11.642857142857142,,,,,,,,,,,,,,,,,,2707800.6112761246,,1936165.504863522,,,,,,,,,,2321776.866913275
165,11.714285714285714,,,,,1354743.9933457286,,,,,,,,,,,,,2600722.9511094433,,2042940.798754415,,,,,,,,,,2214532.9857490356
166,11.785714285714285,,,,,1198404.374221914,,,,,,,,,,,,,2575010.2768236217,,,,,,,,,,,,
167,11.857142857142856,,,,,1406441.0003172448,,,,,,,,,,,,,2742880.4923542356,,,,,,,,,,,,
168,11.928571428571429,,,,,,,,,,,,,,,,,,2617007.7843299382,,,,,,,,,,,,2479451.6343524456
169,12.0,,,,,,,,,,2382322.4060451924,,,,,,,,2681919.5076292264,,,,,,,,,,,,2297250.824723365
170,12.071428571428571,,,,,,,,,,2370429.2372745536,,,,,,,2606501.493770339,2605015.1856524553,,,,,,,,,,2495871.960008985,,2212536.6074581384
171,12.142857142857142,,1633621.9551888104,,,1317001.7574595176,,,,,,,,,,,,,2578259.8718041237,,,,,,,,,,,,2277959.0670007262
172,12.214285714285714,,,,,1289524.622589674,,,,,,,,,,,,,2685161.9384982935,,,,,,,,,,,,
173,12.285714285714285,,,,,,,,,,,,,,,,,,2425890.271741933,,,,,,,,,,2499534.400329949,,2202450.767952152
174,12.357142857142856,,,,,1278973.1655443585,,,,,2305019.938328889,,,,,,,,2523567.651743705,,,,,,,,,,,,
175,12.428571428571429,,,,,1242976.2314249228,,,,,2165133.230257844,,,,,,,,2620931.0897692144,,,,,,,,,,,,2369526.7724352567
176,12.5,,,,,1453413.2576638677,,,,,2311661.368184922,,,,,,,,2676042.044231188,,,,,,,,,,,,2369230.835881315
