Condition_mM,Track,InitialThrashRate_Hz,ThrashingThreshold_Hz,ThrashSuppTime_s
950,0002_4,1.0133333333333334,0.25333333333333335,115.28571428571428
950,0003_1,1.0992592592592594,0.27481481481481485,61.92857142857142
950,0003_10,0.9953846153846154,0.24884615384615386,59.21428571428571
950,0003_2,0.6473684210526315,0.16184210526315787,34.357142857142854
950,0003_3,0.7760683760683761,0.19401709401709402,83.0
950,0003_4,0.9790322580645163,0.24475806451612908,44.57142857142857
950,0003_5,1.0468253968253969,0.2617063492063492,70.92857142857143
950,0003_6,0.8196969696969698,0.20492424242424245,113.5
950,0003_7,0.7905109489051094,0.19762773722627736,174.14285714285714
950,0003_8,0.696969696969697,0.17424242424242425,87.35714285714285
950,0003_9,0.8381679389312977,0.20954198473282443,80.07142857142857
950,0004_1,1.1169354838709677,0.27923387096774194,116.42857142857142
950,0004_10,1.2422018348623853,0.31055045871559633,76.28571428571428
950,0004_2,1.1192307692307693,0.2798076923076923,117.85714285714285
950,0004_3,0.8134920634920636,0.2033730158730159,98.5
950,0004_4,1.2688524590163932,0.3172131147540983,77.78571428571428
950,0004_5,1.1698412698412695,0.29246031746031736,64.71428571428571
950,0004_6,1.3296,0.3324,69.64285714285714
950,0004_7,1.4855072463768115,0.3713768115942029,86.35714285714285
950,0004_8,1.3933823529411764,0.3483455882352941,84.21428571428571
950,0004_9,1.2611570247933885,0.31528925619834713,141.07142857142856
1050,0001_1,1.080851063829787,0.27021276595744675,73.57142857142857
1050,0001_10,1.3766129032258063,0.3441532258064516,54.285714285714285
1050,0001_2,0.8496240601503761,0.21240601503759401,
1050,0001_3,1.2756521739130433,0.3189130434782608,60.5
1050,0001_4,0.9775999999999997,0.24439999999999992,61.07142857142857
1050,0001_5,0.8801526717557252,0.2200381679389313,111.28571428571428
1050,0001_6,1.243703703703704,0.310925925925926,18.0
1050,0001_7,1.1565656565656568,0.2891414141414142,88.64285714285714
1050,0001_8,1.0045045045045047,0.25112612612612617,96.57142857142856
1050,0001_9,1.160169491525424,0.290042372881356,59.285714285714285
1050,0002_1,1.375,0.34375,127.92857142857142
1050,0002_2,1.0926829268292684,0.2731707317073171,65.64285714285714
1050,0002_3,0.6932773109243696,0.1733193277310924,62.14285714285714
1050,0002_4,1.179259259259259,0.29481481481481475,68.92857142857143
1050,0002_5,0.6021276595744681,0.15053191489361703,163.0
1050,0002_6,1.2361538461538462,0.30903846153846154,
1050,0002_7,0.3719298245614035,0.09298245614035087,61.07142857142857
1050,0003_1,0.9460431654676259,0.23651079136690648,126.07142857142856
1050,0003_2,0.9966386554621853,0.24915966386554633,63.07142857142857
1050,0003_3,1.4721428571428572,0.3680357142857143,91.57142857142856
1050,0003_4,1.2284671532846716,0.3071167883211679,113.35714285714285
1050,0003_5,1.1393939393939392,0.2848484848484848,60.5
1050,0003_6,0.6774509803921573,0.16936274509803934,122.28571428571428
1050,0003_7,1.0516949152542372,0.2629237288135593,69.85714285714285
1050,0003_8,1.2479166666666666,0.31197916666666664,89.57142857142857
1050,0003_9,1.1153846153846152,0.2788461538461538,112.35714285714285
1050,0004_1,1.068503937007874,0.2671259842519685,53.57142857142857
1050,0004_2,1.0053030303030301,0.25132575757575754,73.71428571428571
1050,0004_3,0.8879699248120302,0.22199248120300755,49.85714285714285
1050,0004_4,0.7481481481481479,0.18703703703703697,79.71428571428571
1050,0004_5,0.9410071942446044,0.2352517985611511,76.85714285714285
1050,0004_6,1.2164179104477613,0.3041044776119403,78.07142857142857
1050,0004_7,1.2000000000000002,0.30000000000000004,42.285714285714285
1050,0004_8,0.8725663716814159,0.21814159292035398,66.64285714285714
