Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0003_4,0003_5,0004_1,0004_2,0004_3,0004_4,0004_5
46,3.214285714285714,,,2141704.046889661,2224906.9172248957,,2157193.723279266,,,2109685.735036278,1873554.144666183,2177480.7761541875,1680881.123868544,,1931179.8802163475,,1888213.9383010583,,
47,3.2857142857142856,1803026.3238425697,,2193905.14009369,2156953.7468871227,,2219805.244418235,,,,1777275.5037711416,2009366.5068106423,1738504.2110039778,,1816354.3443692266,,,,
48,3.3571428571428568,1660871.5627711052,,2233720.3017195375,2232345.8437820426,,2227456.741066358,,,2011183.8227760294,1651060.277241274,2132423.1726453044,1910648.2858407628,,1788756.5629462597,,,,
49,3.4285714285714284,1910043.0720125244,,2146957.382735443,,,2300618.8308807733,,,2008041.1201338714,1849567.4212513978,2119094.016709535,1987331.9549074923,,1918198.8140741915,,,,
50,3.5,,,1981673.165929036,,,2152811.6419581464,,,2105686.253772181,1881689.7269154198,2101763.386773963,1869067.0581378003,,2051723.9110879563,,,,
51,3.571428571428571,1789346.3817382925,,1992199.3136767745,,,2130745.884826021,,,,1746355.3436562403,1956940.0965241985,1946519.3380941032,,1829087.9095670297,,,,
52,3.642857142857143,,,2075584.9460879497,,,2387682.008423689,,,,1808640.9149023658,,1874565.3589804117,,2010274.9846462936,,,2145762.8548061335,
53,3.714285714285714,1920057.874923498,,2122790.152430629,,,2234099.3911029687,,1582170.8859616043,,1683083.8346520928,1971207.6034412454,1893288.2882660548,,1772221.016781434,,,2090174.8608441653,
54,3.7857142857142856,,,2019801.1824967768,,,2091250.7496725882,,1803064.6156972146,2146074.215671163,1717103.9675193827,1973016.9525131178,1725475.3950966226,,1935102.4269784389,,,,
55,3.8571428571428568,,,2250244.8735222737,,,2338664.0144495494,,,2130849.9501316384,1972689.7740509366,1912317.5234787634,1609555.3416622744,,1896916.43369613,,,2074564.3432951795,
56,3.928571428571429,,,2148956.449114378,,,2456695.44423543,,,,1704418.207371036,1855907.3673697587,1555886.410140611,,1787991.0321316584,,1879912.4458923012,,
57,4.0,1681155.7787898101,,2132667.5410159384,2039977.9235096048,,2294156.9574113847,,,,1808333.0340905786,2081891.4749674364,1838944.4968527055,,1886136.6788850278,,,,
